,Bin input uns,Bin input,Bin output,Bin sim. output
478,49.0,49.0,54.0,54.0
479,62.0,62.0,56.0,56.0
480,52.0,52.0,56.0,56.0
481,58.0,58.0,57.0,57.0
482,60.0,60.0,58.0,57.0
483,53.0,53.0,58.0,57.0
484,65.0,65.0,60.0,59.0
485,55.0,55.0,59.0,59.0
486,62.0,62.0,60.0,60.0
487,63.0,63.0,61.0,60.0
488,56.0,56.0,61.0,60.0
489,68.0,68.0,62.0,62.0
490,57.0,57.0,61.0,61.0
491,64.0,64.0,62.0,62.0
492,65.0,65.0,63.0,62.0
493,57.0,57.0,62.0,62.0
494,69.0,69.0,64.0,63.0
495,58.0,58.0,63.0,62.0
496,65.0,65.0,63.0,63.0
497,65.0,65.0,64.0,63.0
498,58.0,58.0,0.0,0.0
499,70.0,70.0,0.0,0.0
